rank,similarity_correlation,token_reconstruction_centered_cosine,proper_name_top1,relation_reconstruction_centered_cosine,downstream_relation_probe_accuracy,downstream_reasoning_measured,seconds
4,0.4361414778948986,0.07580163329839706,0.01923076994717121,0.07654903084039688,0.3251231610774994,False,0.17961359024047852
8,0.5465615261602392,0.11330971121788025,0.01923076994717121,0.10762829333543777,0.4137931168079376,False,0.2261674404144287
16,0.7179000493062854,0.16729232668876648,0.01923076994717121,0.15773771703243256,0.45812806487083435,False,0.28077173233032227
32,0.8362111552053382,0.22323785722255707,0.01923076994717121,0.21234704554080963,0.46305418014526367,False,0.312694787979126
64,0.8952278152349334,0.2794368267059326,0.19230769574642181,0.2686954438686371,0.6305418610572815,False,0.4155416488647461
128,0.9371796414296526,0.3455160856246948,0.3461538553237915,0.34107911586761475,0.7339901328086853,False,0.48940348625183105
256,0.9564267947419106,0.4242819845676422,0.7115384340286255,0.4254373610019684,0.8226600885391235,False,1.368981122970581
512,0.9750793232066474,0.5031403303146362,0.8846153616905212,0.5125296711921692,0.8817734122276306,False,2.0685741901397705
1024,0.9876166050576665,0.5738015174865723,0.9615384340286255,0.5898705720901489,0.9261083602905273,False,4.050036191940308
2048,0.994503424536969,0.6268375515937805,0.9615384340286255,0.6485656499862671,0.9261083602905273,False,9.173858880996704
4096,0.9999999999999999,0.6607543230056763,0.9615384340286255,0.6858333945274353,0.935960590839386,False,26.385431051254272
