rank,subspace,raw,centered
8,mrl,0.366140753030777,0.11330969631671906
8,svd,0.39581751823425293,0.1985773891210556
8,rand,0.3719734847545624,0.12269871681928635
32,mrl,0.4015275239944458,0.22323785722255707
32,svd,0.44408783316612244,0.2957494258880615
32,rand,0.404764860868454,0.21584947407245636
128,mrl,0.4671836793422699,0.3455160856246948
128,svd,0.5262945294380188,0.4254206717014313
128,rand,0.4790125787258148,0.3530007302761078
512,mrl,0.5774562358856201,0.5031403303146362
512,svd,0.6330585479736328,0.5711386203765869
512,rand,0.5893093347549438,0.5127941966056824
1024,mrl,0.6324777007102966,0.5738015174865723
1024,svd,0.6767809391021729,0.6258478164672852
1024,rand,0.6448575854301453,0.5850239396095276
2048,mrl,0.6754480600357056,0.6268375515937805
2048,svd,0.7080990672111511,0.6635618805885315
2048,rand,0.6912402510643005,0.6425015330314636
